Kingdom Phylum Class Order Family Genus Species NA
321 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
322 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
323 NA NA NA NA NA NA NA NA
324 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
325 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Sapindaceae Pancovia turbinata
326 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
327 NA NA NA NA NA NA NA NA
328 Eukaryota Viridiplantae Streptophyta Magnoliopsida Fabales Fabaceae Acacia hockii
329 NA NA NA NA NA NA NA NA
330 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
331 NA NA NA NA NA NA NA NA
332 NA NA NA NA NA NA NA NA
333 NA NA NA NA NA NA NA NA
334 NA NA NA NA NA NA NA NA
335 NA NA NA NA NA NA NA NA
336 NA NA NA NA NA NA NA NA
337 NA NA NA NA NA NA NA NA
338 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales NA NA NA
339 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
340 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
341 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Sapindaceae Pancovia turbinata
342 NA NA NA NA NA NA NA NA
343 NA NA NA NA NA NA NA NA
344 NA NA NA NA NA NA NA NA
345 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
346 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
347 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
348 NA NA NA NA NA NA NA NA
349 NA NA NA NA NA NA NA NA
350 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
351 NA NA NA NA NA NA NA NA
352 NA NA NA NA NA NA NA NA
353 NA NA NA NA NA NA NA NA
354 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
355 NA NA NA NA NA NA NA NA
356 NA NA NA NA NA NA NA NA
357 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
358 NA NA NA NA NA NA NA NA
359 NA NA NA NA NA NA NA NA
360 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malpighiales Euphorbiaceae NA NA
361 NA NA NA NA NA NA NA NA
362 NA NA NA NA NA NA NA NA
363 NA NA NA NA NA NA NA NA
364 NA NA NA NA NA NA NA NA
365 NA NA NA NA NA NA NA NA
366 NA NA NA NA NA NA NA NA
367 NA NA NA NA NA NA NA NA
368 NA NA NA NA NA NA NA NA
369 NA NA NA NA NA NA NA NA
370 NA NA NA NA NA NA NA NA
371 Eukaryota Viridiplantae Streptophyta Magnoliopsida Fabales Fabaceae NA NA
372 NA NA NA NA NA NA NA NA
373 NA NA NA NA NA NA NA NA
374 Eukaryota Viridiplantae Streptophyta Magnoliopsida Poales Cyperaceae Cyperus NA
375 Eukaryota Viridiplantae Streptophyta Magnoliopsida Poales Poaceae NA NA
376 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
377 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malpighiales Salicaceae Dovyalis macrocarpa
378 NA NA NA NA NA NA NA NA
379 NA NA NA NA NA NA NA NA
380 NA NA NA NA NA NA NA NA
381 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
382 NA NA NA NA NA NA NA NA
383 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae Urera hypsiloides
384 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
385 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae Urera hypsiloides
