Kingdom Phylum Class Order Family Genus
236 Magnoliopsida NA NA NA NA NA
237 NA NA NA NA NA NA
238 Magnoliopsida NA NA NA NA NA
239 Magnoliopsida Malvales Malvaceae Pterygota sp. NA
240 Magnoliopsida Rosales Urticaceae Urera hypsiloides NA
241 NA NA NA NA NA NA
242 NA NA NA NA NA NA
243 NA NA NA NA NA NA
244 NA NA NA NA NA NA
245 NA NA NA NA NA NA
246 NA NA NA NA NA NA
247 Magnoliopsida NA NA NA NA NA
248 NA NA NA NA NA NA
249 Magnoliopsida NA NA NA NA NA
250 NA NA NA NA NA NA
251 Magnoliopsida Malvales Malvaceae Pterygota sp. NA
252 NA NA NA NA NA NA
253 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
254 Magnoliopsida NA NA NA NA NA
255 Magnoliopsida NA NA NA NA NA
256 NA NA NA NA NA NA
257 NA NA NA NA NA NA
258 Magnoliopsida Poales Poaceae Sugarcane sp. NA
259 NA NA NA NA NA NA
260 Magnoliopsida Rosales NA NA NA NA
261 NA NA NA NA NA NA
262 Magnoliopsida NA NA NA NA NA
263 Magnoliopsida Rosales Rosaceae Prunus africana NA
264 NA NA NA NA NA NA
265 Magnoliopsida Rosales NA NA NA NA
266 Magnoliopsida Rosales Cannabaceae Trema orientalis NA
267 NA NA NA NA NA NA
268 Magnoliopsida Rosales Rosaceae NA NA NA
269 NA NA NA NA NA NA
270 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
271 Magnoliopsida Boraginales NA NA NA NA
272 NA NA NA NA NA NA
273 Magnoliopsida Rosales Moraceae NA NA NA
274 NA NA NA NA NA NA
275 NA NA NA NA NA NA
276 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
277 NA NA NA NA NA NA
278 NA NA NA NA NA NA
279 Magnoliopsida Malvales Malvaceae Dombeya mukole NA
280 Magnoliopsida Fabales Fabaceae Acacia hockii NA
281 NA NA NA NA NA NA
282 NA NA NA NA NA NA
283 NA NA NA NA NA NA
