Kingdom Phylum Class Order Family
266 Magnoliopsida Rosales Cannabaceae NA NA
267 NA NA NA NA NA
268 Magnoliopsida NA NA NA NA
269 NA NA NA NA NA
270 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
271 Magnoliopsida NA NA NA NA
272 NA NA NA NA NA
273 Magnoliopsida Rosales Moraceae Ficus sp.
274 NA NA NA NA NA
275 NA NA NA NA NA
276 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
277 NA NA NA NA NA
278 NA NA NA NA NA
279 Magnoliopsida Malvales Malvaceae Dombeya mukole
280 Magnoliopsida Fabales Fabaceae Acacia hockii
281 NA NA NA NA NA
282 NA NA NA NA NA
283 NA NA NA NA NA
284 Magnoliopsida Zingiberales NA NA NA
285 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
286 NA NA NA NA NA
287 NA NA NA NA NA
288 NA NA NA NA NA
289 Magnoliopsida NA NA NA NA
290 Magnoliopsida Asterales Asteraceae Vernonia sp.
291 NA NA NA NA NA
292 Magnoliopsida NA NA NA NA
293 Magnoliopsida Rosales NA NA NA
294 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
295 Magnoliopsida NA NA NA NA
296 NA NA NA NA NA
297 Magnoliopsida NA NA NA NA
298 NA NA NA NA NA
299 NA NA NA NA NA
300 Magnoliopsida Rosales Moraceae Ficus NA
301 NA NA NA NA NA
302 NA NA NA NA NA
303 Magnoliopsida NA NA NA NA
304 NA NA NA NA NA
305 Magnoliopsida Rosales NA NA NA
306 Magnoliopsida Poales Poaceae Sorghum sp.
307 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
308 Magnoliopsida NA NA NA NA
309 Magnoliopsida NA NA NA NA
310 NA NA NA NA NA
311 Magnoliopsida NA NA NA NA
312 Magnoliopsida NA NA NA NA
313 Magnoliopsida Malvales Malvaceae Dombeya mukole
314 Magnoliopsida NA NA NA NA
315 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
316 Magnoliopsida NA NA NA NA
317 Magnoliopsida NA NA NA NA
318 Magnoliopsida NA NA NA NA
319 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata
320 Magnoliopsida Rosales Urticaceae NA NA
321 Magnoliopsida Rosales Moraceae Ficus NA
322 Magnoliopsida Rosales Moraceae Ficus sp.
323 NA NA NA NA NA
324 Magnoliopsida Rosales NA NA NA
325 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata
326 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
327 NA NA NA NA NA
328 Magnoliopsida Fabales Fabaceae Acacia hockii
329 NA NA NA NA NA
330 Magnoliopsida Rosales NA NA NA
331 NA NA NA NA NA
332 NA NA NA NA NA
333 NA NA NA NA NA
334 NA NA NA NA NA
335 NA NA NA NA NA
336 NA NA NA NA NA
337 NA NA NA NA NA
338 Magnoliopsida NA NA NA NA
339 Magnoliopsida NA NA NA NA
340 Magnoliopsida NA NA NA NA
341 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata
342 NA NA NA NA NA
343 NA NA NA NA NA
344 NA NA NA NA NA
345 Magnoliopsida Rosales NA NA NA
346 Magnoliopsida Rosales Moraceae NA NA
347 Magnoliopsida NA NA NA NA
